issue,title,macrofrente,tipo,sprint,responsabilidade,risco_historico,dependencia_externa,homologacao,status
1,"Mapear ecossistema de sistemas impactados","Governança","Governança","Sprint 1","Interna","Alto","Não","Não aplicável","Concluído"
2,"Estruturar governança no Azure DevOps","Governança","Governança","Sprint 1","GP / Tecnologia","Médio","Não","Não aplicável","Concluído"
3,"Revisar critério de aceite do marco intermediário","Governança","Decisão","Sprint 4","GP / Stakeholders","Alto","Sim","Residual","Concluído"
4,"Transferir validações residuais para sustentação","Governança","Handover","Sprint 7","GP / Sustentação","Médio","Sim","Residual","Concluído"
5,"Adequar cadastro fiscal do ERP corporativo","ERP & Financeiro","Sistema","Sprint 3","Interna + Fornecedor","Alto","Sim","Aprovada","Concluído"
6,"Validar motor fiscal e faturamento","ERP & Financeiro","Sistema","Sprint 5","Fornecedor","Alto","Sim","Aprovada","Concluído"
7,"Adequar cadastro de pessoas e terceiros","HCM & Pessoas","Sistema","Sprint 4","Interna + Fornecedor","Médio","Sim","Aprovada","Concluído"
8,"Validar integração com folha e benefícios","HCM & Pessoas","Integração","Sprint 5","Interna","Médio","Não","Aprovada","Concluído"
9,"Adequar cadastro mestre de clientes","CRM & Comercial","Sistema","Sprint 3","Interna","Alto","Não","Aprovada","Concluído"
10,"Validar integrações comerciais dependentes do identificador","CRM & Comercial","Integração","Sprint 4","Interna","Alto","Não","Aprovada","Concluído"
11,"Adequar identificação de clientes na plataforma de serviços","ITSM & Serviços","Sistema","Sprint 4","Interna + Fornecedor","Médio","Sim","Aprovada","Concluído"
12,"Adequar portal corporativo de autoatendimento","Portais & Canais Digitais","Sistema","Sprint 5","Interna","Alto","Não","Aprovada","Concluído"
13,"Adequar API de integração fiscal","Integrações & APIs","Integração","Sprint 3","Interna","Alto","Não","Aprovada","Concluído"
14,"Adequar ingestão e camada analítica","Dados & Analytics","Dados","Sprint 5","Dados / Tecnologia","Alto","Não","Aprovada","Concluído"
15,"Priorizar adequação em outra esteira de produto","Dependências","Dependência","Sprint 6 → Sprint 7","Squad externa ao projeto","Alto","Sim","Aprovada","Concluído"
16,"Estabilizar solução após três ciclos de correção","Dependências","Fornecedor","Sprint 6 → Sprint 7","Fornecedor","Alto","Sim","Aprovada","Concluído"
